shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
b42c23ec-ba3d-4216-88c2-e37983d818ed,40.7009417236412,-80.284083502536,92,16012.89
bb515512-e193-4fd8-8049-46b29514e90e,40.7343607088542,-80.3708462638167,148,63268.8
e6a8e3c1-b6cf-4c82-9557-3b5d6959830b,40.4311597604251,-80.0686954002795,168,40984.09
51e20484-c70e-439d-946f-fdbeedb5e858,40.6463681546669,-80.311109442181,118,12133.11
95db041a-5cbf-46e0-98cd-62f104a8512d,40.4343998691082,-80.0194701563996,288,65199.55
0b6ae324-bf09-436e-a447-c77540c81762,40.6193878125779,-80.2559846792212,156,14189.47
e6a8e3c1-b6cf-4c82-9557-3b5d6959830b,40.6247495487183,-80.3252312734861,14,1903.7
e6a8e3c1-b6cf-4c82-9557-3b5d6959830b,40.5070354346654,-80.28127522953,77,16586.83
3013fe2e-5c0b-4fb1-9008-bd65467b34f8,40.6208496165782,-80.2561322007258,279,28090.61
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6025274457054,-80.2903853529921,180,17998.16
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6335471948115,-80.312315095205,239,24240.31
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6564103458172,-80.3086659496228,269,27244.64
077f3c3c-8a97-4037-a458-1a129b30ff11,40.5926703269881,-80.2324952323732,15,3146.25
0b6ae324-bf09-436e-a447-c77540c81762,40.6161316106398,-80.242912932808,206,17042.48
137055c8-eb0c-4281-a919-b143a7787088,40.6028144420871,-80.2316624064244,67,12948.34
e6a8e3c1-b6cf-4c82-9557-3b5d6959830b,40.5215676439743,-80.2738750144169,72,14847.62
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6564706955237,-80.3084755127714,270,27262.04
2ddb8593-0271-4b48-8dfd-d53e68375359,40.7975374637566,-80.3767846749296,339,59495.59
2ddb8593-0271-4b48-8dfd-d53e68375359,40.793752866611,-80.3584638451614,327,57543.95
15233c62-6f79-4899-b25f-cacc2d1a95d1,40.6190726529999,-80.2941940900203,185,20574.4
c07f27c5-dbc5-4654-a131-0d863f52898e,40.6230476869969,-80.3245513334603,116,22348.7
a5db607b-9d25-4517-a2b2-7b8c47ac82fa,40.7955848154774,-80.3645765998707,49,6243.65
a4e232aa-a581-43a7-b2db-ecd2004dfb03,40.6763539121362,-80.3432154860029,38,4109.28
15233c62-6f79-4899-b25f-cacc2d1a95d1,40.6209783626186,-80.2567182634305,64,9542.75
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6149983772634,-80.2597612297393,56,8738.51
0b6ae324-bf09-436e-a447-c77540c81762,40.602359807632,-80.2907246524528,82,8657.6
